Provincia,Población,Latitud,Longitud
Almería,Abla,37.14114,-2.780104
Almería,Abrucena,37.13305,-2.797098
Almería,Adra,36.74807,-3.022522
Almería,Albánchez,37.2871,-2.181163
Almería,Alboloduy,37.03319,-2.62175
Almería,Albox,37.38979,-2.147483
Almería,Alcolea,36.97449,-2.961038
Almería,Alcóntar,37.33585,-2.596944
Almería,Alcudia de Monteagud,37.23598,-2.266174
Almería,Alhabia,36.9893,-2.587667
Almería,Alhama de Almería,36.95742,-2.570075
Almería,Alicún,36.9663,-2.601994
Almería,Almería,36.84016,-2.467922
Almería,Almócita,37.00236,-2.790071
Almería,Alsodux,37.002,-2.594579
Almería,Antas,37.24516,-1.917543
Almería,Arboleas,37.35025,-2.074867
Almería,Armuña de Almanzora,37.34969,-2.411396
Almería,Bacares,37.26083,-2.454761
Almería,Bayárcal,37.03116,-2.996469
Almería,Bayarque,37.33091,-2.43566
Almería,Bédar,37.18964,-1.981898
Almería,Beires,37.012,-2.790928
Almería,Benahadux,36.92587,-2.455683
Almería,Benitagla,37.23124,-2.239107
Almería,Benizalón,37.21175,-2.241685
Almería,Bentarique,36.98652,-2.61942
Almería,Berja,36.84644,-2.949425
Almería,Canjáyar,37.00973,-2.739681
Almería,Cantoria,37.35259,-2.193626
Almería,Carboneras,36.99659,-1.895012
Almería,Castro de Filabres,37.18464,-2.439524
Almería,Chercos,37.26633,-2.257897
Almería,Chirivel,37.5956,-2.264839
Almería,Cóbdar,37.26199,-2.210223
Almería,Cuevas del Almanzora,37.29709,-1.881476
Almería,Dalías,36.82121,-2.870697
Almería,Ejido (El),36.77506,-2.812738
Almería,Enix,36.87704,-2.602107
Almería,Felix,36.86892,-2.657921
Almería,Fiñana,37.17101,-2.840678
Almería,Fines,37.35888,-2.262964
Almería,Fondón,36.97942,-2.858356
Almería,Gádor,36.95393,-2.492936
Almería,Gallardos (Los),37.16948,-1.940099
Almería,Garrucha,37.17925,-1.821901
Almería,Gérgal,37.1207,-2.538305
Almería,Huécija,36.96788,-2.611436
Almería,Huércal-Overa,37.39063,-1.943684
Almería,Huércal de Almería,36.88415,-2.435978
Almería,Illar,36.98504,-2.639302
Almería,Instinción,36.99316,-2.659945
Almería,Laroya,37.29667,-2.329601
Almería,Láujar de Andarax,36.99384,-2.88922
Almería,Líjar,37.29527,-2.219928
Almería,Lubrín,37.21585,-2.067055
Almería,Lucainena de las Torres,37.04179,-2.200706
Almería,Lúcar,37.39965,-2.427074
Almería,Macael,37.33229,-2.304892
Almería,María,37.7111,-2.165795
Almería,Mojácar,37.13995,-1.851328
Almería,Mojonera (La),36.75254,-2.688159
Almería,Nacimiento,37.10497,-2.64774
Almería,Níjar,36.96576,-2.20651
Almería,Ohanes,37.03723,-2.745168
Almería,Olula de Castro,37.17611,-2.476297
Almería,Olula del Río,37.35212,-2.298121
Almería,Oria,37.48503,-2.295018
Almería,Padules,36.99884,-2.773482
Almería,Partaloa,37.40604,-2.226434
Almería,Paterna del Río,37.02088,-2.953087
Almería,Pechina,36.91667,-2.440625
Almería,Pulpí,37.41183,-1.745502
Almería,Purchena,37.34855,-2.36155
Almería,Rágol,36.99564,-2.680989
Almería,Rioja,36.94406,-2.462424
Almería,Roquetas de Mar,36.76427,-2.614935
Almería,Santa Cruz de Marchena,37.0172,-2.603768
Almería,Santa Fe de Mondújar,36.97506,-2.530279
Almería,Senés,37.20457,-2.347544
Almería,Serón,37.34361,-2.508077
Almería,Sierro,37.32348,-2.398526
Almería,Somontín,37.39139,-2.389127
Almería,Sorbas,37.09841,-2.126351
Almería,Suflí,37.3382,-2.389523
Almería,Tabernas,37.04945,-2.392681
Almería,Taberno,37.46729,-2.076205
Almería,Tahal,37.22803,-2.28497
Almería,Terque,36.98359,-2.597233
Almería,Tíjola,37.34551,-2.439434
Almería,Tres Villas (Las),37.13334,-2.7
Almería,Turre,37.15225,-1.894899
Almería,Turrillas,37.03019,-2.264096
Almería,Uleila del Campo,37.18548,-2.203801
Almería,Urrácal,37.39732,-2.36507
Almería,Velefique,37.19375,-2.403687
Almería,Vélez-Blanco,37.69095,-2.095682
Almería,Vélez-Rubio,37.64802,-2.074232
Almería,Vera,37.24686,-1.868238
Almería,Viator,36.88963,-2.426541
Almería,Vícar,36.83145,-2.642515
Almería,Zurgena,37.34265,-2.039607
Cádiz,Alcalá de los Gazules,36.46045,-5.723718
Cádiz,Alcalá del Valle,36.90491,-5.173237
Cádiz,Algar,36.65533,-5.657418
Cádiz,Algeciras,36.12978,-5.447698
Cádiz,Algodonales,36.88092,-5.405773
Cádiz,Arcos de la Frontera,36.75078,-5.812395
Cádiz,Barbate,36.19282,-5.918903
Cádiz,Barrios (Los),36.18539,-5.492747
Cádiz,Benalup-Casas Viejas,36.34284,-5.8094
Cádiz,Benaocaz,36.69952,-5.421263
Cádiz,Bornos,36.81459,-5.743362
Cádiz,Bosque (El),36.75752,-5.506988
Cádiz,Cádiz,36.52969,-6.292657
Cádiz,Castellar de la Frontera,36.28621,-5.419937
Cádiz,Chiclana de la Frontera,36.41915,-6.149412
Cádiz,Chipiona,36.7408,-6.43587
Cádiz,Conil de la Frontera,36.27675,-6.088436
Cádiz,Espera,36.87319,-5.806213
Cádiz,Gastor (El),36.85509,-5.323623
Cádiz,Grazalema,36.75837,-5.366071
Cádiz,Jerez de la Frontera,36.68656,-6.137173
Cádiz,Jimena de la Frontera,36.43404,-5.453479
Cádiz,Línea de la Concepción (La),36.16118,-5.348256
Cádiz,Medina-Sidonia,36.46768,-5.927894
Cádiz,Olvera,36.93525,-5.267688
Cádiz,Paterna de Rivera,36.52333,-5.866053
Cádiz,Prado del Rey,36.78968,-5.555545
Cádiz,Puerto de Santa María (El),36.59695,-6.227526
Cádiz,Puerto Real,36.52912,-6.191895
Cádiz,Puerto Serrano,36.92159,-5.545621
Cádiz,Rota,36.61699,-6.358202
Cádiz,San Fernando,36.46572,-6.196626
Cádiz,San José del Valle,36.60554,-5.798952
Cádiz,San Roque,36.20975,-5.384572
Cádiz,Sanlúcar de Barrameda,36.77882,-6.354198
Cádiz,Setenil de las Bodegas,36.86406,-5.181413
Cádiz,Tarifa,36.01271,-5.602954
Cádiz,Torre Alháquime,36.91553,-5.234736
Cádiz,Trebujena,36.86951,-6.176695
Cádiz,Ubrique,36.67771,-5.446557
Cádiz,Vejer de la Frontera,36.25331,-5.962856
Cádiz,Villaluenga del Rosario,36.69587,-5.388137
Cádiz,Villamartín,36.86132,-5.641834
Cádiz,Zahara,36.84053,-5.390547
Córdoba,Adamuz,38.02736,-4.524873
Córdoba,Aguilar de la Frontera,37.51503,-4.656057
Córdoba,Alcaracejos,38.38823,-4.967684
Córdoba,Almedinilla,37.439,-4.091205
Córdoba,Almodóvar del Río,37.80959,-5.019958
Córdoba,Añora,38.41099,-4.897461
Córdoba,Baena,37.61441,-4.326089
Córdoba,Belalcázar,38.57843,-5.167119
Córdoba,Belmez,38.27234,-5.208753
Córdoba,Benamejí,37.26732,-4.540418
Córdoba,Blázquez (Los),38.4065,-5.438988
Córdoba,Bujalance,37.89657,-4.383588
Córdoba,Cabra,37.47437,-4.425931
Córdoba,Cañete de las Torres,37.86741,-4.318819
Córdoba,Carcabuey,37.44359,-4.273436
Córdoba,Cardeña,38.27047,-4.32373
Córdoba,Carlota (La),37.67361,-4.932553
Córdoba,Carpio (El),37.94054,-4.498775
Córdoba,Castro del Río,37.68864,-4.481579
Córdoba,Conquista,38.40844,-4.500968
Córdoba,Córdoba,37.88473,-4.779152
Córdoba,Doña Mencía,37.55457,-4.357603
Córdoba,Dos Torres,38.44524,-4.894932
Córdoba,Encinas Reales,37.27488,-4.489717
Córdoba,Espejo,37.68211,-4.552363
Córdoba,Espiel,38.18865,-5.018202
Córdoba,Fernán-Núñez,37.67226,-4.723994
Córdoba,Fuente-Tójar,37.51163,-4.148019
Córdoba,Fuente la Lancha,38.42257,-5.048906
Córdoba,Fuente Obejuna,38.26675,-5.419834
Córdoba,Fuente Palmera,37.70319,-5.103904
Córdoba,Granjuela (La),38.3711,-5.351436
Córdoba,Guadalcázar,37.75755,-4.94463
Córdoba,Guijo (El),38.49629,-4.782716
Córdoba,Hinojosa del Duque,38.50099,-5.148333
Córdoba,Hornachuelos,37.83084,-5.242984
Córdoba,Iznájar,37.25726,-4.308423
Córdoba,Lucena,37.40873,-4.485598
Córdoba,Luque,37.55932,-4.276523
Córdoba,Montalbán de Córdoba,37.58292,-4.749699
Córdoba,Montemayor,37.64862,-4.698889
Córdoba,Montilla,37.58963,-4.638313
Córdoba,Montoro,38.02617,-4.381874
Córdoba,Monturque,37.47332,-4.581713
Córdoba,Moriles,37.43526,-4.608767
Córdoba,Nueva Carteya,37.58566,-4.467291
Córdoba,Obejo,38.13433,-4.800506
Córdoba,Palenciana,37.2492,-4.583651
Córdoba,Palma del Río,37.70163,-5.283767
Córdoba,Pedro Abad,37.96708,-4.457226
Córdoba,Pedroche,38.42873,-4.763438
Córdoba,Peñarroya-Pueblonuevo,38.30304,-5.272851
Córdoba,Posadas,37.80041,-5.107038
Córdoba,Pozoblanco,38.37742,-4.848376
Córdoba,Priego de Córdoba,37.4389,-4.194839
Córdoba,Puente Genil,37.39051,-4.770465
Córdoba,Rambla (La),37.60816,-4.741319
Córdoba,Rute,37.32587,-4.371301
Córdoba,San Sebastián de los Ballesteros,37.65493,-4.824157
Córdoba,Santa Eufemia,38.59544,-4.902765
Córdoba,Santaella,37.56627,-4.845094
Córdoba,Torrecampo,38.4751,-4.679456
Córdoba,Valenzuela,37.77508,-4.219841
Córdoba,Valsequillo,38.40498,-5.35168
Córdoba,Victoria (La),37.88327,-4.784959
Córdoba,Villa del Río,37.98227,-4.290878
Córdoba,Villafranca de Córdoba,37.96193,-4.545728
Córdoba,Villaharta,38.13951,-4.903052
Córdoba,Villanueva de Córdoba,38.32279,-4.628341
Córdoba,Villanueva del Duque,38.39297,-5.000132
Córdoba,Villanueva del Rey,38.19965,-5.151443
Córdoba,Villaralto,38.45571,-4.984371
Córdoba,Villaviciosa de Córdoba,38.07598,-5.014214
Córdoba,Viso (El),38.4827,-4.955392
Córdoba,Zuheros,37.54314,-4.316415
Granada,Agrón,37.03058,-3.829724
Granada,Alamedilla,37.58174,-3.244309
Granada,Albolote,37.23085,-3.657415
Granada,Albondón,36.82729,-3.210813
Granada,Albuñán,37.22719,-3.133893
Granada,Albuñol,36.79125,-3.203485
Granada,Albuñuelas,36.9282,-3.631472
Granada,Aldeire,37.16264,-3.072488
Granada,Alfacar,37.23657,-3.570654
Granada,Algarinejo,37.32492,-4.158846
Granada,Alhama de Granada,37.00252,-3.988389
Granada,Alhendín,37.1076,-3.645584
Granada,Alicún de Ortega,37.60968,-3.137986
Granada,Almegíjar,36.90245,-3.299801
Granada,Almuñécar,36.73454,-3.690736
Granada,Alpujarra de la Sierra,36.9815,-3.157129
Granada,Alquife,37.17983,-3.116288
Granada,Arenas del Rey,36.95771,-3.894323
Granada,Armilla,37.1401,-3.617981
Granada,Atarfe,37.2229,-3.687416
Granada,Baza,37.49065,-2.774473
Granada,Beas de Granada,37.21916,-3.481737
Granada,Beas de Guadix,37.2794,-3.205976
Granada,Benalúa,37.3503,-3.16904
Granada,Benalúa de las Villas,37.42758,-3.683473
Granada,Benamaurel,37.60913,-2.699214
Granada,Bérchules,36.97672,-3.190379
Granada,Bubión,36.94883,-3.356741
Granada,Busquístar,36.93771,-3.294846
Granada,Cacín,37.05995,-3.91689
Granada,Cádiar,36.94673,-3.180546
Granada,Cájar,37.13422,-3.570618
Granada,Calahorra (La),37.18137,-3.064513
Granada,Calicasas,37.27329,-3.6182
Granada,Campotéjar,37.48131,-3.616497
Granada,Cáñar,36.92661,-3.428235
Granada,Caniles,37.43626,-2.722401
Granada,Capileira,36.96122,-3.358654
Granada,Carataunas,36.92287,-3.408202
Granada,Cástaras,36.93169,-3.253733
Granada,Castilléjar,37.7147,-2.642967
Granada,Castril,37.79573,-2.779088
Granada,Cenes de la Vega,37.15931,-3.537524
Granada,Chauchina,37.20142,-3.77254
Granada,Chimeneas,37.13137,-3.823198
Granada,Churriana de la Vega,37.14777,-3.64595
Granada,Cijuela,37.19989,-3.810801
Granada,Cogollos de Guadix,37.22443,-3.161336
Granada,Cogollos de la Vega,37.27486,-3.572908
Granada,Colomera,37.37206,-3.71382
Granada,Cortes de Baza,37.65493,-2.769917
Granada,Cortes y Graena,37.30363,-3.218777
Granada,Cuevas del Campo,37.60847,-2.931033
Granada,Cúllar,37.58368,-2.576282
Granada,Cúllar Vega,37.15327,-3.670436
Granada,Darro,37.35002,-3.292531
Granada,Dehesas de Guadix,37.58868,-3.102278
Granada,Deifontes,37.32524,-3.594484
Granada,Diezma,37.32085,-3.331664
Granada,Dílar,37.07499,-3.601624
Granada,Dólar,37.18004,-2.989589
Granada,Dúdar,37.18567,-3.484442
Granada,Dúrcal,36.98793,-3.56616
Granada,Escúzar,37.06251,-3.761499
Granada,Ferreira,37.17229,-3.036083
Granada,Fonelas,37.41344,-3.173344
Granada,Freila,37.52869,-2.906795
Granada,Fuente Vaqueros,37.21957,-3.783053
Granada,Gabias (Las),37.135,-3.698333
Granada,Galera,37.74289,-2.551193
Granada,Gobernador,37.47737,-3.320455
Granada,Gójar,37.10443,-3.606203
Granada,Gor,37.36952,-2.969444
Granada,Gorafe,37.47902,-3.044275
Granada,Granada,37.17649,-3.597929
Granada,Guadahortuna,37.55655,-3.400713
Granada,Guadix,37.3004,-3.134583
Granada,Guajares (Los),36.84568,-3.61165
Granada,Gualchos,36.74357,-3.389869
Granada,Güejar Sierra,37.15992,-3.438619
Granada,Güevéjar,37.25698,-3.597678
Granada,Huélago,37.4198,-3.260146
Granada,Huéneja,37.17693,-2.948596
Granada,Huéscar,37.80949,-2.539663
Granada,Huétor de Santillán,37.21823,-3.517399
Granada,Huétor Tájar,37.19463,-4.047139
Granada,Huétor Vega,37.15238,-3.575904
Granada,Illora,37.28843,-3.879782
Granada,Itrabo,36.79948,-3.638711
Granada,Iznalloz,37.3927,-3.527549
Granada,Jayena,36.94883,-3.822807
Granada,Jerez del Marquesado,37.18385,-3.159872
Granada,Jete,36.79732,-3.668151
Granada,Jun,37.22064,-3.59443
Granada,Juviles,36.94825,-3.225788
Granada,Láchar,37.19508,-3.834064
Granada,Lanjarón,36.91806,-3.480488
Granada,Lanteira,37.1689,-3.138551
Granada,Lecrín,36.9477,-3.550382
Granada,Lentegí,36.8343,-3.674449
Granada,Lobras,36.92786,-3.212306
Granada,Loja,37.16884,-4.151471
Granada,Lugros,37.23069,-3.240909
Granada,Lújar,36.78755,-3.401651
Granada,Malahá (La),37.10146,-3.722502
Granada,Maracena,37.20568,-3.636805
Granada,Marchal,37.2962,-3.202323
Granada,Moclín,37.34158,-3.786422
Granada,Molvízar,36.78689,-3.607518
Granada,Monachil,37.13209,-3.539469
Granada,Montefrío,37.32097,-4.011364
Granada,Montejícar,37.57196,-3.5047
Granada,Montillana,37.50127,-3.672423
Granada,Moraleda de Zafayona,37.16977,-3.965147
Granada,Morelábor,37.43111,-3.310278
Granada,Motril,36.74467,-3.516718
Granada,Murtas,36.88737,-3.108971
Granada,Nevada,37,-3.016667
Granada,Nigüelas,36.97741,-3.539319
Granada,Nívar,37.25794,-3.577918
Granada,Ogíjares,37.11991,-3.607937
Granada,Orce,37.72141,-2.479451
Granada,Órgiva,36.90224,-3.42399
Granada,Otívar,36.81491,-3.681497
Granada,Otura,37.09431,-3.635073
Granada,Padul,37.02432,-3.626719
Granada,Pampaneira,36.94004,-3.361339
Granada,Pedro Martínez,37.50168,-3.230659
Granada,Peligros,37.23122,-3.629415
Granada,Peza (La),37.2756,-3.284761
Granada,Píñar,37.44337,-3.439418
Granada,Pinar (El),37.44337,-3.439418
Granada,Pinos Genil,37.16339,-3.502635
Granada,Pinos Puente,37.25146,-3.750995
Granada,Polícar,37.25764,-3.232102
Granada,Polopos,36.79553,-3.297135
Granada,Pórtugos,36.94241,-3.310386
Granada,Puebla de Don Fadrique,37.9579,-2.43508
Granada,Pulianas,37.22264,-3.608163
Granada,Purullena,37.31759,-3.190274
Granada,Quéntar,37.19201,-3.468192
Granada,Rubite,36.80884,-3.348044
Granada,Salar,37.14882,-4.067732
Granada,Salobreña,36.74626,-3.587108
Granada,Santa Cruz del Comercio,37.06024,-3.976717
Granada,Santa Fe,37.18936,-3.719076
Granada,Soportújar,36.92839,-3.405133
Granada,Sorvilán,36.79442,-3.267524
Granada,Taha (La),36.93333,-3.316667
Granada,Torre-Cardela,37.50457,-3.356015
Granada,Torvizcón,36.87788,-3.298552
Granada,Trevélez,37.00245,-3.266871
Granada,Turón,36.86357,-3.057771
Granada,Ugíjar,36.96075,-3.054754
Granada,Valle (El),37.28611,-3.008889
Granada,Valle del Zalabí,37.28611,-3.008889
Granada,Válor,36.99589,-3.083123
Granada,Vegas del Genil,37.16667,-3.7
Granada,Vélez de Benaudalla,36.83195,-3.516209
Granada,Ventas de Huelma,37.06853,-3.822133
Granada,Villamena,36.99035,-3.588935
Granada,Villanueva de las Torres,37.55663,-3.090193
Granada,Villanueva Mesía,37.2142,-4.011248
Granada,Víznar,37.23108,-3.553835
Granada,Zafarraya,36.97551,-4.144421
Granada,Zagra,37.25303,-4.168132
Granada,Zubia (La),37.12061,-3.584668
Granada,Zújar,37.54015,-2.842817
Huelva,Alájar,37.87439,-6.666078
Huelva,Aljaraque,37.27111,-7.021585
Huelva,Almendro (El),37.50693,-7.270019
Huelva,Almonaster la Real,37.87181,-6.787901
Huelva,Almonte,37.26254,-6.51724
Huelva,Alosno,37.54936,-7.115428
Huelva,Aracena,37.89417,-6.561207
Huelva,Aroche,37.94426,-6.954265
Huelva,Arroyomolinos de León,38.02604,-6.421104
Huelva,Ayamonte,37.21466,-7.409819
Huelva,Beas,37.42592,-6.792988
Huelva,Berrocal,38,-6.883333
Huelva,Bollullos Par del Condado,37.33615,-6.535758
Huelva,Bonares,37.3219,-6.680697
Huelva,Cabezas Rubias,37.7265,-7.087451
Huelva,Cala,37.97217,-6.31649
Huelva,Calañas,37.65482,-6.878683
Huelva,Campillo (El),37.69332,-6.630814
Huelva,Campofrío,37.76776,-6.573099
Huelva,Cañaveral de León,38.01454,-6.527808
Huelva,Cartaya,37.28314,-7.154979
Huelva,Castaño del Robledo,37.8951,-6.703943
Huelva,Cerro de Andévalo (El),37.73519,-6.938734
Huelva,Chucena,37.36157,-6.393946
Huelva,Corteconcepción,37.89585,-6.505878
Huelva,Cortegana,37.90937,-6.820616
Huelva,Cortelazor,37.93554,-6.624768
Huelva,Cumbres de Enmedio,38.07224,-6.692877
Huelva,Cumbres de San Bartolomé,38.07691,-6.743336
Huelva,Cumbres Mayores,38.0637,-6.647074
Huelva,Encinasola,38.13522,-6.872141
Huelva,Escacena del Campo,37.41033,-6.389561
Huelva,Fuenteheridos,37.90327,-6.660661
Huelva,Galaroza,37.92757,-6.709221
Huelva,Gibraleón,37.37495,-6.970141
Huelva,Granada de Río-Tinto (La),37.23156,-6.91823
Huelva,Granado (El),37.26469,-6.926992
Huelva,Higuera de la Sierra,37.83819,-6.447579
Huelva,Hinojales,38.00843,-6.589147
Huelva,Hinojos,37.29273,-6.376253
Huelva,Huelva,37.2571,-6.949555
Huelva,Isla Cristina,37.19943,-7.325246
Huelva,Jabugo,37.91671,-6.729078
Huelva,Lepe,37.25432,-7.203348
Huelva,Linares de la Sierra,37.88009,-6.621002
Huelva,Lucena del Puerto,37.30394,-6.730086
Huelva,Manzanilla,37.38773,-6.429422
Huelva,Marines (Los),37.90303,-6.62332
Huelva,Minas de Riotinto,37.69391,-6.591848
Huelva,Moguer,37.27469,-6.836591
Huelva,Nava (La),37.96342,-6.745746
Huelva,Nerva,37.69511,-6.550632
Huelva,Niebla,37.3601,-6.6792
Huelva,Palma del Condado (La),37.38784,-6.5534
Huelva,Palos de la Frontera,37.2282,-6.893426
Huelva,Paterna del Campo,37.42096,-6.401431
Huelva,Paymogo,37.74063,-7.345994
Huelva,Puebla de Guzmán,37.61144,-7.245831
Huelva,Puerto Moral,37.89208,-6.47877
Huelva,Punta Umbría,37.18248,-6.967148
Huelva,Rociana del Condado,37.30781,-6.598672
Huelva,Rosal de la Frontera,37.9678,-7.220527
Huelva,San Bartolomé de la Torre,37.44596,-7.106683
Huelva,San Juan del Puerto,37.31416,-6.840784
Huelva,San Silvestre de Guzmán,37.3884,-7.350305
Huelva,Sanlúcar de Guadiana,37.47318,-7.467861
Huelva,Santa Ana la Real,37.86396,-6.724445
Huelva,Santa Bárbara de Casa,37.79655,-7.188633
Huelva,Santa Olalla del Cala,37.90651,-6.229617
Huelva,Trigueros,37.38319,-6.833752
Huelva,Valdelarco,37.95044,-6.683222
Huelva,Valverde del Camino,37.57339,-6.753376
Huelva,Villablanca,37.30373,-7.341905
Huelva,Villalba del Alcor,37.39729,-6.476595
Huelva,Villanueva de las Cruces,37.62762,-7.024521
Huelva,Villanueva de los Castillejos,37.50046,-7.272443
Huelva,Villarrasa,37.38945,-6.606914
Huelva,Zalamea la Real,37.67891,-6.660578
Huelva,Zufre,37.83384,-6.338613
Jaén,Albanchez de Mágina,37.79165,-3.468285
Jaén,Alcalá la Real,37.46358,-3.925078
Jaén,Alcaudete,37.59106,-4.086735
Jaén,Aldeaquemada,38.41182,-3.371774
Jaén,Andújar,38.03675,-4.054391
Jaén,Arjona,37.93648,-4.054891
Jaén,Arjonilla,37.97355,-4.107027
Jaén,Arquillos,38.18201,-3.430886
Jaén,Arroyo del Ojanco,38.32092,-2.894979
Jaén,Baeza,37.99343,-3.469237
Jaén,Bailén,38.09588,-3.774859
Jaén,Baños de la Encina,38.17133,-3.774258
Jaén,Beas de Segura,38.25238,-2.889883
Jaén,Bedmar y Garcíez,37.82271,-3.411761
Jaén,Begíjar,37.98452,-3.53483
Jaén,Bélmez de la Moraleda,37.7239,-3.38222
Jaén,Benatae,38.35257,-2.650866
Jaén,Cabra del Santo Cristo,37.70535,-3.286108
Jaén,Cambil,37.67691,-3.565627
Jaén,Campillo de Arenas,37.55593,-3.635789
Jaén,Canena,38.04868,-3.482172
Jaén,Carboneros,38.22952,-3.631522
Jaén,Cárcheles,37.6533,-3.635799
Jaén,Carolina (La),38.27468,-3.615412
Jaén,Castellar,38.25621,-3.131925
Jaén,Castillo de Locubín,37.52826,-3.943678
Jaén,Cazalilla,37.9846,-3.882231
